類型,年份,樓層,總坪數,房間數,價位（萬）
電梯大樓,8.6,10,9.01,3,1280
別墅,31.5,3,55.88,11,6990
別墅,11.5,4,84.01,10,5288
電梯大樓,7.9,7,8.28,3,1980
電梯大樓,4.8,15,28.26,6,2980
電梯大樓,21.2,21,96.82,12,16999
公寓,31.6,5,26.99,6,1280
電梯大樓,4.8,14,29.98,8,3150
電梯大樓,4.6,10,33.06,7,2860
電梯大樓,25.8,15,35.87,7,7680
電梯大樓,26.4,6,8.35,3,1380
公寓,40.4,5,24.61,7,1730
電梯大樓,3.4,15,20.92,5,2580
公寓,47.1,4,27.17,6,2350
電梯大樓,2.6,5,25.53,7,2480
公寓,40.5,4,32.68,6,2650
電梯大樓,38.5,17,17.74,2,2388
電梯大樓,32.5,12,17.81,2,5968
電梯大樓,3.7,7,12.83,3,3988
電梯大樓,8.7,12,18.28,6,6188
電梯大樓,39.1,12,20.12,6,2990
公寓,50.5,4,30.1,11,3500
電梯大樓,33.7,12,52.69,3,5800
電梯大樓,36.4,7,47.81,8,3820
電梯大樓,34.6,11,20.25,2,2500
電梯大樓,32.1,19,23.2,6,2498
電梯大樓,42,12,11.05,4,998
電梯大樓,44.5,11,94.01,6,6999
電梯大樓,21.5,6,12.52,5,1880
電梯大樓,37.8,7,34.06,6,11660
電梯大樓,30.4,7,53.32,7,3668
電梯大樓,31.3,12,29.66,7,2680
電梯大樓,1.6,9,16.45,4,3150
公寓,49,4,24.6,7,1490
電梯大樓,34.4,12,45.3,3,2400
電梯大樓,5,10,10.06,3,2000
公寓,44.2,4,32.11,8,2560
電梯大樓,26.8,5,9,4,1160
電梯大樓,18.2,14,4.17,1,780
電梯大樓,9.3,7,15.57,4,2180
公寓,38,7,38.59,10,6700
電梯大樓,32.6,12,16.57,2,1314
電梯大樓,35.8,12,22.72,4,2380
電梯大樓,22.6,8,9.31,2,980
電梯大樓,39.6,7,45.95,13,3480
公寓,30.5,4,14.89,6,2088
電梯大樓,3.5,11,18.76,3,2600
電梯大樓,7.4,14,8.51,2,1298
公寓,44.6,4,31.67,8,2480
公寓,16.6,5,18.58,5,2450
電梯大樓,9.8,7,9.79,2,1490
電梯大樓,15.6,14,15.74,4,2500
電梯大樓,0.7,17,36.85,8,5500
公寓,45.2,5,34.61,8,2100
電梯大樓,24.5,9,16.53,4,1788
電梯大樓,3,14,36.26,8,4588
電梯大樓,1.9,14,42.02,7,4980
電梯大樓,9.5,12,9.42,2,1588
電梯大樓,2.6,15,41.82,7,7380
電梯大樓,3.1,7,37.73,7,3930
電梯大樓,6,14,59.58,7,11150
電梯大樓,10,10,24.71,7,2850
電梯大樓,2.4,9,35.81,7,4980
電梯大樓,16.3,14,14.13,4,2238
電梯大樓,2.7,15,16.54,4,2525
透天厝,50.5,5,86.26,13,14500
電梯大樓,18.4,12,145.81,13,15888
電梯大樓,3.6,7,17.63,6,3650
電梯大樓,22.8,10,7.25,3,745
公寓,39.6,5,25.35,4,3380
電梯大樓,23.5,13,32.1,7,3900
電梯大樓,4,13,31.5,7,5400
電梯大樓,26.9,5,12.55,3,1360
電梯大樓,8.5,13,94.78,3,18000
電梯大樓,26.4,7,68.13,4,5698
電梯大樓,9.6,14,7.63,2,1298
電梯大樓,30,7,8.4,3,1150
公寓,44.1,4,24.38,5,1980
公寓,44.9,4,26.1,2,6500
電梯大樓,1.2,14,117.85,1,32000
電梯大樓,21.5,6,6.18,2,790
電梯大樓,4.5,11,53.35,10,6980
電梯大樓,22.5,11,29.91,6,2980
公寓,33.9,5,24.33,5,1368
電梯大樓,14.6,15,7.26,2,1125
電梯大樓,37.1,12,66.14,1,6988
公寓,51.6,3,21.44,6,2010
電梯大樓,9.4,13,8.25,3,1680
公寓,37.7,4,28.31,6.5,2800
電梯大樓,1.1,6,21.17,5,3668
公寓,28.8,5,31.13,7,2350
公寓,40.8,4,25.66,6,1780
公寓,40.4,4,36.25,8,2488
電梯大樓,27.4,17,42.15,8,6500
電梯大樓,7.6,12,8.36,3,1980
電梯大樓,33.5,12,25.16,6,3088
電梯大樓,29.7,12,39.12,7,3150
公寓,35.5,5,46.7,9,6800
電梯大樓,7.2,13,12.05,3,1650
電梯大樓,16.6,12,122.81,9,12000
電梯大樓,5.6,11,42.21,8,5550
電梯大樓,32.3,7,32.63,7,2660
電梯大樓,32.5,7,14.56,7,1780
電梯大樓,35.4,12,19.11,4,1520
電梯大樓,32.1,19,22.17,5,2338
電梯大樓,33.2,12,31.85,2,2258
電梯大樓,3.5,10,43.43,7,6500
電梯大樓,13.4,19,36.76,6,6900
電梯大樓,16,11,38.06,8,6250
電梯大樓,18.8,14,20.54,5,2250
電梯大樓,38.7,14,7.85,3,550
電梯大樓,20.6,15,40.45,2,7988
電梯大樓,21.2,6,8.29,3,798
電梯大樓,9.7,24,43.99,7,7380
電梯大樓,1.1,15,19.42,6,2880
透天厝,40.2,2,44,7,7800
電梯大樓,9.9,13,54.77,8,12988
公寓,39,5,32.66,8,1645
電梯大樓,6.8,18,9.39,3,1980
電梯大樓,40.1,11,54.8,5,14800
電梯大樓,2.4,7,7.32,2,1518
電梯大樓,39.5,7,24.83,5,1580
公寓,36.4,5,46.96,8,5300
電梯大樓,8.2,5,45.99,8,4380
電梯大樓,8.6,7,30.72,8,3500
電梯大樓,37.4,7,34.59,7,4688
電梯大樓,33.9,6,21.4,6,2250
電梯大樓,2.9,12,21.18,6,2180
電梯大樓,6.2,5,22.26,1,3200
電梯大樓,20.5,5,9.13,3,1099
電梯大樓,35.5,7,43.09,2,10800
電梯大樓,32.6,10,52.24,7,8980
公寓,50.2,4,40.08,7,6980
電梯大樓,4.5,19,55.67,8,13580
電梯大樓,10,10,7.25,3,1238
電梯大樓,34.5,7,32.14,9,5480
電梯大樓,29.2,12,14.59,5,2108
電梯大樓,40.5,12,28.46,7,3198
電梯大樓,20.9,10,87.21,4,10000
電梯大樓,36.4,7,33.38,8,3490
電梯大樓,41,6,39.54,8,4100
電梯大樓,38.5,14,40.09,7,5380
電梯大樓,27.7,21,49.65,7,6800
電梯大樓,35.4,7,36.07,7,3050
電梯大樓,38.4,7,29.82,7,2500
電梯大樓,36.4,7,34.51,5,9600
電梯大樓,27.9,25,114.56,12,17200
電梯大樓,34.5,12,10.04,3,1530
電梯大樓,10,13,9.1,4,1980
電梯大樓,21.5,6,5.08,2,750
電梯大樓,8.9,6,4.61,2,710
電梯大樓,35.5,16,44.41,4,4680
公寓,36.7,5,29.41,6,1560
電梯大樓,6.2,12,27.03,6,3880
電梯大樓,7.3,15,46.3,8,6388
電梯大樓,40,12,49.88,3,6200
電梯大樓,20.5,5,41.2,7,2680
電梯大樓,5.4,7,10.96,4,2380
電梯大樓,20.9,16,34.55,8,2650
電梯大樓,7.4,19,53.62,9,8650
電梯大樓,36.3,12,36.34,7,3260
電梯大樓,6.6,10,17.65,2,1780
電梯大樓,32.5,12,33.13,7,4388
電梯大樓,7.3,11,16.45,6,3568
電梯大樓,4.7,12,42.16,7,3800
電梯大樓,2.2,12,27.05,7,3120
電梯大樓,3.7,7,19.17,5,2578
電梯大樓,3.6,11,56.99,2,6500
電梯大樓,23.4,5,12.05,3,1450
透天厝,56.5,2,19.53,6,1800
電梯大樓,11.4,11,11.4,4,1950
電梯大樓,29.5,8,7.76,2,738
電梯大樓,11,15,40.2,8,3800
公寓,37.1,5,32.05,7,1753
電梯大樓,2.2,33,37.35,8.5,4700
電梯大樓,6.6,14,32.2,7,2780
電梯大樓,6.9,7,20.3,6,1998
電梯大樓,2.8,7,29.26,8,2700
電梯大樓,1.4,12,19.35,5,1680
電梯大樓,36.6,7,39.36,7,2798
電梯大樓,42.9,9,240.13,62,16500
公寓,31.4,5,38.24,7,2980
電梯大樓,21.9,6,19.28,3,1280
電梯大樓,6.6,15,28.34,7,2990
電梯大樓,3.1,11,32.44,7,3180
電梯大樓,32.2,9,14.03,4,1370
電梯大樓,40.2,11,37.18,8,2350
電梯大樓,2.4,26,39.28,8,4988
電梯大樓,5.4,5,19.38,5,1890
電梯大樓,6.4,5,17.81,6,3980
電梯大樓,31,7,29.18,7,3080
電梯大樓,25.4,5,8.61,3,550
電梯大樓,1.4,19,50.06,8,9888
電梯大樓,19,24,28.3,7,3588
電梯大樓,4.8,20,49.97,9,8300
公寓,52.3,4,21.96,5,1598
公寓,34.9,5,32.33,7,1550
電梯大樓,32.2,6,27.88,9,2500
公寓,32.3,5,28.95,7,1180
電梯大樓,6.2,14,57.51,9,13300
電梯大樓,20.2,6,26.71,7,1450
公寓,33.9,5,28.01,6,1430
電梯大樓,1.9,14,60.56,7,7980
公寓,41.3,4,26.01,4,2280
電梯大樓,10,12,8.39,2,968
公寓,44.3,4,16.62,5.5,1550
電梯大樓,7.1,12,11.1,2,2150
電梯大樓,23.6,7,45.54,9,3500
公寓,43.6,4,29.75,6,2550
公寓,30.4,5,20.67,7,1350
電梯大樓,3.1,13,46.21,8,8900
電梯大樓,2.9,9,26.64,7,5680
電梯大樓,6.7,15,18.93,5,2380
電梯大樓,22.5,10,33.42,7,2460
電梯大樓,8.5,13,8.98,2,699
電梯大樓,9.5,11,47.36,8,8500
公寓,40.5,5,19.06,5,1198
公寓,44.5,4,33.39,6,5888
電梯大樓,10.8,9,21.5,7,1680
電梯大樓,20.1,16,47.69,7,3700
電梯大樓,28,12,15.08,4,1700
公寓,33.9,5,29.13,6,2290
電梯大樓,36.7,12,44.18,8,4980
電梯大樓,4.8,14,40.58,8,3380
電梯大樓,5.9,10,12.86,4,1380
電梯大樓,10.1,7,17,5,1318
電梯大樓,32.7,7,31.92,7,1790
公寓,37.4,5,25.75,7,1978
電梯大樓,34.1,8,35.82,11,5500
電梯大樓,10.4,12,23.49,7,2668
電梯大樓,1.2,15,37.25,8,4680
電梯大樓,8.2,13,6.68,2,1191
電梯大樓,12.5,17,38.75,7,5558
電梯大樓,3.6,13,15.51,5,2580
公寓,40.3,4,34.4,4,1980
電梯大樓,1.9,14,16.34,4,2330
電梯大樓,7.9,12,53.54,6,12998
電梯大樓,19.7,30,47.67,5,5500
電梯大樓,34.4,12,29.84,7,2930
公寓,28.8,5,36.94,7,2980
電梯大樓,5.3,11,20.83,6.5,2598
電梯大樓,23.2,13,4.97,1,515
公寓,29.1,5,30.69,7,2380
公寓,43.8,4,38.25,10,2480
公寓,50.1,4,30.85,3,8500
電梯大樓,6.8,5,21.48,7,1988
電梯大樓,3.4,11,28.17,7,5400
公寓,41.3,4,20.81,5,930
透天厝,60.7,1,15.43,3,8200
電梯大樓,10.9,15,36.27,8,3688
公寓,38.1,4,29.39,6,1080
公寓,36.9,5,36.68,7,2180
電梯大樓,20.3,10,22.85,3,1369
電梯大樓,9.2,13,9.04,2,1508
公寓,38.5,5,34.86,7,2280
公寓,32,5,31.78,8,1658
公寓,47.8,3,14.66,7,1580
電梯大樓,9.6,14,8.26,2,798
電梯大樓,14.8,8,35.91,7,3150
電梯大樓,8.7,15,22.44,6,3988
電梯大樓,33.5,10,14.63,1,6500
電梯大樓,7.1,14,37.08,8,6800
電梯大樓,27.1,10,40.25,5,2680
電梯大樓,21.9,12,30.13,7,3880
電梯大樓,35,12,22.88,6,1448
公寓,33.9,5,32.74,7,1680
電梯大樓,16.6,12,133.05,1,13500
電梯大樓,17.9,14,38.1,6,4988
公寓,41.4,4,32.14,6,2240
公寓,32.7,5,25.05,7,1480
電梯大樓,7.5,12,38.94,7,4580
電梯大樓,22.7,10,10.93,2,888
公寓,36,5,29.31,6,1580
電梯大樓,7.7,24,45.59,8,9168
別墅,8.1,3,44.53,8,4988
電梯大樓,3.6,13,16.64,4,2450
電梯大樓,6.9,15,88.15,4,22300
電梯大樓,28.4,7,115.64,3,32500
電梯大樓,32.9,7,30.26,7,2800
電梯大樓,3.6,13,16.64,6,2598
電梯大樓,8,11,26.03,4,3880
電梯大樓,3.9,14,36.88,8,4468
電梯大樓,40.3,12,16.59,5,1980
公寓,39.7,5,19.72,6,1288
電梯大樓,3,23,52,8,7083
公寓,42.8,4,43.57,8,1798
電梯大樓,33.7,7,23.81,1,4800
電梯大樓,7.3,13,8.97,2,1422
公寓,41,5,33.67,10,3300
電梯大樓,3.5,18,29.88,7,3788
電梯大樓,9.5,7,9.43,3,1180
別墅,40.7,2,41.8,6,6980
電梯大樓,4.7,12,42.14,8,4288
電梯大樓,34.8,11,9.3,3,600
電梯大樓,40.3,14,15.99,5,1800
電梯大樓,12.7,11,7.72,3,730
電梯大樓,6.5,14,8.14,2,1388
電梯大樓,23.6,5,6.86,2,858
電梯大樓,21,16,20.82,4,1798
公寓,36,5,39.5,7,3680
電梯大樓,0.7,10,58.03,5,11752
電梯大樓,37,12,5.96,2,390
電梯大樓,25,16,72.42,9.5,4280
電梯大樓,36.8,7,33.37,7,2680
電梯大樓,35.3,7,30.83,6,3680
電梯大樓,7.7,7,46.91,8,11500
公寓,32.7,6,17.85,3,1328
電梯大樓,10.2,6,8.52,3,1688
電梯大樓,6.1,15,38.73,8,4680
電梯大樓,34.5,12,12.22,4,1980
電梯大樓,31.1,7,11.3,4,1680
電梯大樓,8.7,12,12.92,3,3380
電梯大樓,29.5,15,11.39,1,1500
電梯大樓,35.1,12,42.91,7,5888
電梯大樓,38,7,37.34,10,4200
電梯大樓,27.5,12,6.85,2,748
電梯大樓,5.2,6,43.08,7,12390
電梯大樓,2.8,13,31.23,7,3688
電梯大樓,31.2,15,33.14,7,4950
公寓,46.3,4,32.66,2,9900
電梯大樓,28.3,12,19.71,2,2980
電梯大樓,32.8,7,33.67,7,4088
電梯大樓,37.9,7,39.05,8,4200
公寓,42.7,4,38.7,8,2980
電梯大樓,28.6,8,35.47,6,2798
電梯大樓,31,12,29.85,7,2000
公寓,42.1,4,23.82,6,888
電梯大樓,8.6,7,21.68,6,3368
電梯大樓,31.3,7,12.2,3,1350
電梯大樓,11.6,13,16.69,5,1350
公寓,40.1,4,28.98,8,1680
別墅,50.5,2,96.26,12,16800
公寓,48.6,4,29.12,7,2600
電梯大樓,32.7,17,32.89,6,3180
公寓,43.9,4,38.66,7,2388
電梯大樓,4.8,13,54.75,8,15800
電梯大樓,9.9,7,33.53,7,2880
電梯大樓,1.3,5,12.44,2,1380
公寓,38.4,5,23.29,1,5500
電梯大樓,8.1,14,35.25,7,6800
電梯大樓,38.4,7,9.31,3,950
公寓,48.5,3,16.11,4,1880
電梯大樓,26.7,8,36.82,8,2890
電梯大樓,40.6,12,28.01,2,7800
電梯大樓,29,5,7.17,3,698
電梯大樓,7.3,13,14.42,4,2296
電梯大樓,0.5,10,15.11,3,2990
電梯大樓,33.5,7,20.72,4,2180
透天厝,54.4,3,50.89,7,4800
電梯大樓,23.1,11,27.48,7,3550
公寓,50.4,4,46.04,8,3350
公寓,48.6,4,37.08,6,7200
公寓,31.1,5,32.11,7,1880
電梯大樓,20.6,11,21.82,6,2348
電梯大樓,3.6,31,43.39,7,8841
透天厝,41.2,3,64.84,9,5930
電梯大樓,10.4,12,14.81,3,2588
公寓,47.2,4,39.01,7,3480
電梯大樓,25.1,12,10,2,3998
電梯大樓,38.2,7,32.49,8,3480
電梯大樓,23.5,12,118.83,5,15000
電梯大樓,30.1,18,33.84,7,3788
電梯大樓,5.6,13,37.31,6,6990
電梯大樓,23.4,7,39.05,8,3880
電梯大樓,30.6,7,13.6,5,2288
電梯大樓,22.4,6,40.57,8,2850
公寓,32.1,5,36.86,3,3500
電梯大樓,33.8,12,10.85,3,700
電梯大樓,17.5,12,14.86,6,2200
電梯大樓,9.6,11,30.32,2,9026
公寓,45.5,4,22.99,8,1750
公寓,45,4,21.63,6,1760
電梯大樓,2.2,10,27.44,1,4100
電梯大樓,30,16,33.74,8,3830
電梯大樓,22.7,23,39.32,8,4980
電梯大樓,34,12,13.93,5,798
電梯大樓,34.8,7,32.7,7,3700
電梯大樓,0.9,25,41.3,8,9280
公寓,36.2,5,31.52,7,2300
電梯大樓,1.9,11,12.04,4,2580
公寓,32.7,5,32.43,7,1500
電梯大樓,14.8,14,8.69,3,1250
電梯大樓,8.7,7,14.85,4,3980
電梯大樓,38.1,7,41.76,8,4580
電梯大樓,2.7,13,28.77,7,3780
電梯大樓,42.3,12,43.31,2,4998
電梯大樓,34.4,11,8.76,3,698
電梯大樓,8.7,9,25.07,6,2980
電梯大樓,44.7,7,42.71,7,5680
電梯大樓,2.1,12,33.98,7,7680
電梯大樓,33.1,7,21.04,4,2968
電梯大樓,7.4,14,43.45,7,8866
電梯大樓,18.3,7,24.35,7,1688
電梯大樓,2.6,5,17.94,5,1850
電梯大樓,9.1,5,28.15,8,1998
公寓,41.8,4,27.4,2,2298
公寓,39.1,4,27.76,5,1350
電梯大樓,7.6,9,16.66,5,1800
電梯大樓,5.8,6,12.48,7,2180
公寓,37,5,35.04,7,1400
電梯大樓,3.5,11,19.07,5,2450
公寓,35.4,5,24.37,5,1150
電梯大樓,6.2,11,19.01,3,1750
電梯大樓,39.7,7,8.54,3,498
電梯大樓,7.6,14,9.09,2,1140
公寓,34.7,5,28.66,7,2100
公寓,52.7,4,26.15,2,8472
電梯大樓,30.7,12,25.62,6,2980
電梯大樓,35.5,7,43.61,6,4145
電梯大樓,3,7,18.18,3,3958
電梯大樓,39.6,14,19.88,3,2398
電梯大樓,39.8,7,17.67,5,2180
電梯大樓,7.1,13,18.03,5,2630
電梯大樓,29.5,15,5.54,1,920
電梯大樓,29.4,12,21.6,3,2980
公寓,50.6,4,8.15,3,930
電梯大樓,36.5,7,22.54,2,3680
公寓,27.9,5,29.31,7,2950
公寓,44.3,4,26.05,2,2450
公寓,37.6,5,14.26,4,1398
電梯大樓,28.1,12,37.08,7,4280
電梯大樓,20.2,6,26.71,7,1450
公寓,33.9,5,28.01,6,1430
電梯大樓,1.9,14,60.56,7,7980
公寓,41.3,4,26.01,4,2280
電梯大樓,10,12,8.39,2,968
公寓,44.3,4,16.62,5.5,1550
電梯大樓,7.1,12,11.1,2,2150
電梯大樓,23.6,7,45.54,9,3500
電梯大樓,5,14,54.97,8,8800
電梯大樓,3.1,26,74.54,12,8300
電梯大樓,20.8,5,15.92,2,2480
電梯大樓,2.1,15,43.91,8,4680
透天厝,39,2,30.78,6,2980
電梯大樓,24.3,6,33.6,7,3250
電梯大樓,16.7,12,29.61,7,3750
公寓,51.8,4,37.02,8,2880
電梯大樓,2,11,36.01,9,5380
電梯大樓,1.3,11,31.03,7,4700
公寓,32.8,5,31.72,7,1298
電梯大樓,9.4,8,8.68,3,1198
電梯大樓,35.8,7,14.78,5,1768
電梯大樓,8.2,5,13.7,4,3480
電梯大樓,23.6,12,10.07,3,798
電梯大樓,25.6,15,32.72,7,2668
電梯大樓,6.7,5,17.98,5,1960
公寓,33.4,5,29.11,6.5,1680
電梯大樓,23.3,7,14.48,4,1080
電梯大樓,19,8,11.28,4,1199
電梯大樓,3.1,10,27.98,7,3588
電梯大樓,29.5,6,8.35,3,1298
電梯大樓,40.5,7,38.94,7,4800
電梯大樓,38.9,12,42.1,8,6280
公寓,36.7,5,18.29,9,1880
電梯大樓,31.9,6,34.07,8,6654
電梯大樓,9.4,8,10.3,5,1380
公寓,34.7,5,34.47,8,1198
電梯大樓,40.1,7,110.02,4,21800
電梯大樓,40,7,50.65,10,4988
電梯大樓,8.4,8,17.39,5,3480
公寓,32.7,5,37.94,8,2980
電梯大樓,3,10,39.87,6,7980
電梯大樓,35,13,33.45,1,2968
電梯大樓,6.7,11,8.05,3,1360
電梯大樓,24.7,5,26.05,4,2760
電梯大樓,35.5,6,21.26,6,1350
電梯大樓,38.7,14,7.18,3,528
公寓,29.2,5,31.21,7,1780
電梯大樓,22.4,6,46.32,1,2220
公寓,33.5,5,42.74,5,4560
電梯大樓,7.7,15,33.98,8,4730
公寓,37.4,5,37.24,7,2280
電梯大樓,28.8,10,14.65,1,2880
公寓,40.4,5,32.35,6,2380
公寓,20.3,4,47.34,12,4088
電梯大樓,39.3,8,28.73,1,3500
公寓,49.5,3,24.68,7,1780
電梯大樓,30.4,15,35.34,8,2700
電梯大樓,8.8,7,8.07,2,880
電梯大樓,11.1,11,28.75,7,2988
電梯大樓,23.6,11,58.14,8,6280
公寓,43,4,35.29,7,2380
電梯大樓,3.1,7,24.84,6,2470
電梯大樓,21.8,5,47.69,10,2950
電梯大樓,6.1,10,24.11,7,2430
公寓,31.9,5,29.86,2,4500
電梯大樓,10.9,13,19.48,3,2800
電梯大樓,39.5,12,16.79,5,958
電梯大樓,24.9,5,17.45,5,1780
電梯大樓,3,23,50.64,8,7288
電梯大樓,34.7,12,34.7,7,3580
電梯大樓,40.3,12,29.6,8,2605
電梯大樓,32.8,7,36.54,4,3800
電梯大樓,6.2,15,35.83,7,4388
電梯大樓,8,19,24.86,6,5300
電梯大樓,11.7,11,9.72,2,1960
電梯大樓,3.5,18,29.88,7,3580
電梯大樓,10.1,14,22.49,6,3260
電梯大樓,1.3,5,12.81,3,1400
公寓,39.3,4,29.55,6,1566
電梯大樓,17.9,12,33.66,7,2320
電梯大樓,1.4,12,23.4,6,2180
公寓,32.8,5,24.68,7,1180
電梯大樓,3,24,37.31,8,3658
電梯大樓,1.4,12,23.5,7,2250
公寓,36.1,5,27.11,6,1360
電梯大樓,3.9,13,22.12,2,2700
電梯大樓,3.5,7,23.94,7,2288
公寓,35.2,5,22.79,6.5,1280
電梯大樓,6.7,14,15.31,5,2370
電梯大樓,9,14,40.65,7,4500
公寓,18.2,3,34,5,2088
電梯大樓,12,20,36.11,8,3680
公寓,36.3,5,44.1,9,2190
電梯大樓,11.2,13,13.6,3,1668
電梯大樓,12.3,14,36.94,8,3580
電梯大樓,20.1,16,43.35,8,2658
電梯大樓,18.7,7,18.44,4,2300
電梯大樓,21.4,9,8.05,2,1080
電梯大樓,3.8,14,12.98,1,2200
電梯大樓,4.2,14,90.86,1,28735
電梯大樓,8.9,9,8.44,2,1320
別墅,15.9,4,61.95,11,6988
電梯大樓,18.1,8,9.25,3,1038
電梯大樓,4.1,7,24.23,7,2749
電梯大樓,11.3,8,15.56,5,1780
電梯大樓,3.5,11,12.69,4,2180
電梯大樓,2.1,10,18.33,4,3480
電梯大樓,20.1,11,40.75,8,4680
電梯大樓,12.6,11,10.57,2,1650
公寓,30.6,5,34.85,6,2488
電梯大樓,4.1,8,49.33,8,6188
電梯大樓,8.7,11,14.85,1.5,1750
電梯大樓,8.7,5,13.88,3,1750
電梯大樓,3.7,13,35.91,7,4250
電梯大樓,39.7,12,17.82,4,2280
電梯大樓,4.8,7,11.45,3,2980
電梯大樓,28.1,11,33.63,8,1998
電梯大樓,8.7,9,19.99,4,2450
電梯大樓,6.7,7,75.28,11,11500
電梯大樓,13,9,25.39,7,2580
電梯大樓,8.1,5,67.98,10,7900
電梯大樓,22.8,10,14.2,2,1980
電梯大樓,39.4,11,27.96,4.5,2200
電梯大樓,30.3,12,31.47,8,2180
電梯大樓,3.1,15,29.67,8,3160
公寓,45.1,4,23.28,6,1120
電梯大樓,32.6,7,42.48,8,2854
電梯大樓,8.5,14,12.37,3,1880
別墅,53.8,1,48.34,9,12300
電梯大樓,38.4,12,19.09,5,1150
電梯大樓,8.3,12,19.09,5,2298
電梯大樓,5.8,15,34.94,7,3350
電梯大樓,38.4,12,18.1,4,1177
電梯大樓,38.4,12,17.66,6,1280
電梯大樓,23.7,7,42.99,3,5920
電梯大樓,4.6,14,40.75,7,5480
電梯大樓,27,6,39.32,1,3500
電梯大樓,36.7,7,31.12,7,3180
公寓,53.3,3,137.69,29,10500
電梯大樓,13.1,14,38.22,8,5180
電梯大樓,39.5,9,17.82,4,1450
電梯大樓,35.8,7,13.32,4,1550
電梯大樓,23.8,15,404.72,1,10880
電梯大樓,44,6,16.06,2,2980
公寓,42.5,4,25.61,3,9500
公寓,35.3,5,26.39,6,2980
電梯大樓,37.9,7,32.62,7,3200
電梯大樓,27.9,25,56.97,8,8888
電梯大樓,30.1,12,13.5,3,1380
電梯大樓,29.5,15,4.3,1,750
電梯大樓,41.2,7,26.5,4,12800
公寓,48.8,4,28.56,6,2280
電梯大樓,8.5,14,9.33,3,1580
電梯大樓,8.4,7,5.97,2,1158
電梯大樓,1.5,23,64.22,9,18248
公寓,36.1,5,26.73,10,1600
公寓,40.4,4,32.39,7.5,1588
公寓,42.5,4,29.02,5,1700
電梯大樓,38.4,12,13.94,3,768
電梯大樓,8.7,11,17.33,2,2050
電梯大樓,22.3,13,19.58,5,1540
電梯大樓,3,24,28.4,7,3760
公寓,36.3,5,34.88,8,1650
電梯大樓,17.2,7,52.81,8,6980
電梯大樓,6.5,22,37.06,8,5150
電梯大樓,7.3,10,35.65,7,3400
公寓,40.3,4,23.86,5,1680
電梯大樓,9.1,12,7.07,2,1280
電梯大樓,23.9,28,15.58,1,2250
公寓,40.3,4,33.46,12,1750
公寓,37.4,5,39.09,7,3300
電梯大樓,8,9,10.88,4,1700
電梯大樓,1.9,14,42.02,8,4990
公寓,48,4,20.13,6,1450
公寓,39.3,4,26.94,5,2050
電梯大樓,37.5,10,25.12,3,2580
電梯大樓,34.4,26,55.53,7,6200
電梯大樓,39.9,7,10.59,2,756
公寓,39,5,28.96,1,2380
透天厝,96.9,2,36.91,2,13800
電梯大樓,34.5,14,60.63,9,6399
電梯大樓,10.1,12,34.28,7,3380
公寓,41.5,4,76.84,20,4980
電梯大樓,8.3,6,42.23,8,4700
電梯大樓,8.6,14,8.81,3,1088
電梯大樓,9.2,12,13.46,3,1280
公寓,31.4,5,30.84,10,1800
